item,sample,metadata_extract,linecut_qr
C67_GD2-69-6_th0.110_4539.4s_T200.005C_5.00s_61498_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4539.4,""theta"":0.11,""sequence_ID"":61498.0,""annealing_temperature"":200.005},""time"":1.5084270522973387e+09}",
C67_GD2-69-6_th0.110_4597.3s_T200.005C_5.00s_61503_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4597.3,""theta"":0.11,""sequence_ID"":61503.0,""annealing_temperature"":200.005},""time"":1.5084270523022373e+09}",
C67_GD2-69-6_th0.110_4650.4s_T200.006C_5.00s_61508_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4650.4,""theta"":0.11,""sequence_ID"":61508.0,""annealing_temperature"":200.006},""time"":1.5084270523070495e+09}",
C67_GD2-69-6_th0.110_4705.3s_T200.006C_5.00s_61513_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4705.3,""theta"":0.11,""sequence_ID"":61513.0,""annealing_temperature"":200.006},""time"":1.50842705231168e+09}",
C67_GD2-69-6_th0.110_4761.3s_T200.007C_5.00s_61518_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4761.3,""theta"":0.11,""sequence_ID"":61518.0,""annealing_temperature"":200.007},""time"":1.5084270523165946e+09}",
C67_GD2-69-6_th0.110_4815.3s_T200.006C_5.00s_61523_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4815.3,""theta"":0.11,""sequence_ID"":61523.0,""annealing_temperature"":200.006},""time"":1.5084270523212936e+09}",
C67_GD2-69-6_th0.110_4872.4s_T200.006C_5.00s_61528_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4872.4,""theta"":0.11,""sequence_ID"":61528.0,""annealing_temperature"":200.006},""time"":1.5084270523259456e+09}",
C67_GD2-69-6_th0.110_4932.3s_T200.005C_5.00s_61533_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4932.3,""theta"":0.11,""sequence_ID"":61533.0,""annealing_temperature"":200.005},""time"":1.5084270523306334e+09}",
C67_GD2-69-6_th0.110_4989.4s_T200.004C_5.00s_61538_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4989.4,""theta"":0.11,""sequence_ID"":61538.0,""annealing_temperature"":200.004},""time"":1.5084270523355272e+09}",
C67_GD2-69-6_th0.110_5043.4s_T200.004C_5.00s_61543_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":5043.4,""theta"":0.11,""sequence_ID"":61543.0,""annealing_temperature"":200.004},""time"":1.5084270523401232e+09}",
C67_GD2-69-6_th0.110_5099.4s_T200.006C_5.00s_61548_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":5099.4,""theta"":0.11,""sequence_ID"":61548.0,""annealing_temperature"":200.006},""time"":1.508427052344629e+09}",
C67_GD2-69-6_th0.110_58.9s_T90.001C_5.00s_61118_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":58.9,""theta"":0.11,""sequence_ID"":61118.0,""annealing_temperature"":90.001},""time"":1.508427052349309e+09}",
C67_GD2-69-8_th0.110_1085.0s_T157.104C_5.00s_61146_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1085.0,""theta"":0.11,""sequence_ID"":61146.0,""annealing_temperature"":157.104},""time"":1.5084270523539824e+09}",
C67_GD2-69-8_th0.110_1142.1s_T186.277C_5.00s_61151_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1142.1,""theta"":0.11,""sequence_ID"":61151.0,""annealing_temperature"":186.277},""time"":1.5084270523586237e+09}",
C67_GD2-69-8_th0.110_1203.0s_T202.504C_5.00s_61156_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1203.0,""theta"":0.11,""sequence_ID"":61156.0,""annealing_temperature"":202.504},""time"":1.5084270523637412e+09}",
C67_GD2-69-8_th0.110_1263.1s_T200.647C_5.00s_61161_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1263.1,""theta"":0.11,""sequence_ID"":61161.0,""annealing_temperature"":200.647},""time"":1.5084270523683345e+09}",
C67_GD2-69-8_th0.110_1479.1s_T200.000C_5.00s_61251_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1479.1,""theta"":0.11,""sequence_ID"":61251.0,""annealing_temperature"":200.0},""time"":1.508427052373124e+09}",
C67_GD2-69-8_th0.110_1542.1s_T200.000C_5.00s_61256_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1542.1,""theta"":0.11,""sequence_ID"":61256.0,""annealing_temperature"":200.0},""time"":1.508427052377814e+09}",
C67_GD2-69-8_th0.110_158.0s_T143.584C_5.00s_61126_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":158.0,""theta"":0.11,""sequence_ID"":61126.0,""annealing_temperature"":143.584},""time"":1.5084270523824368e+09}",
C67_GD2-69-8_th0.110_1601.1s_T200.000C_5.00s_61261_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1601.1,""theta"":0.11,""sequence_ID"":61261.0,""annealing_temperature"":200.0},""time"":1.5084270523871915e+09}",
C67_GD2-69-8_th0.110_1658.1s_T200.002C_5.00s_61266_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1658.1,""theta"":0.11,""sequence_ID"":61266.0,""annealing_temperature"":200.002},""time"":1.5084270523938687e+09}",
C67_GD2-69-8_th0.110_1719.1s_T200.001C_5.00s_61271_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1719.1,""theta"":0.11,""sequence_ID"":61271.0,""annealing_temperature"":200.001},""time"":1.5084270524007409e+09}",
C67_GD2-69-8_th0.110_1776.1s_T200.000C_5.00s_61276_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1776.1,""theta"":0.11,""sequence_ID"":61276.0,""annealing_temperature"":200.0},""time"":1.5084270524117315e+09}",
C67_GD2-69-8_th0.110_1842.1s_T200.000C_5.00s_61281_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1842.1,""theta"":0.11,""sequence_ID"":61281.0,""annealing_temperature"":200.0},""time"":1.5084270524176273e+09}",
C67_GD2-69-8_th0.110_1903.1s_T199.998C_5.00s_61286_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1903.1,""theta"":0.11,""sequence_ID"":61286.0,""annealing_temperature"":199.998},""time"":1.5084270524237206e+09}",
